Gene	S1	S2	S3	S4	S5	S6	S7	S8
ACADS	0.557389043579592	0.6975470244014307	0.1842448938524917	0.42246886793469596	-0.12359134350195729	0.3229569271405844	0.1272047875866915	0.35675353419730094
ACADSB	1.43093831406964	1.8487381670803766	0.9436206545308768	1.5585154178084257	1.3536223811112333	1.4143599928231922	0.867240996553788	1.1746268738243137
ACADVL	-0.38176607203396795	-0.37694025879477633	-0.6039231433981705	-0.5235998660259716	-0.5929314973061467	-0.4171461202857359	-0.3292417522149031	-0.39121170160974283
ACAN	-0.5954371570952625	-0.5969002605138214	-0.6134450475771975	-0.6653908487175934	-0.6308778993217589	-0.6277553246066079	-0.6407628351460615	-0.6717911417961083
ACAP1	0.14822576187264458	0.3194332922753241	0.5712728454382457	0.3188338535708623	0.18470850695644117	0.2116946689561037	0.36233183244833284	0.23302082375144637
ACAP2	0.39139770837130694	0.44297124885583644	0.1924795085982944	0.372751980581583	0.8250413816338591	0.35163219104416127	0.3182699590722974	-0.048882268797057524
ACAP3	-0.5954371561074742	-0.5969002605138214	-0.6134450475771975	-0.5832724588221316	-0.5241153108440294	-0.5645006046084694	-0.6407575276688369	-0.5804825077496807
ACAT1	-0.19596673511005713	0.06786827488001193	-0.14884491222599056	0.002122336366029801	0.10951296126204817	-0.30466108364947064	-0.13538548130010458	-0.17392756443529514
ACAT2	2.643135929420545	2.686745544698092	2.9383038035039926	2.2544303742907292	2.509213737449309	2.4626310064942714	2.4488476272524258	2.4204740542082868
ACBD3	0.19612452014774603	0.0735927409797693	-0.2374564199259297	0.831401089087213	-0.24608091941205196	0.42398910504365794	0.7453710956859875	0.36134034890231337
ACBD4	0.04626213384713893	0.0823193283491495	-0.1407864446925183	-0.04207082863321478	-0.37238599190123806	-0.21623577208605455	-0.1178692949927961	0.12583649508563094
ACBD5	-0.20182868590009118	0.12044605808427751	0.6645205057886576	0.009110817531803981	0.03880364725973266	0.0043696843358685565	-0.1476852711841747	0.14070815835761274
ACBD6	-0.4994682777608926	-0.4527905583665744	-0.5184635213095339	-0.3034785023492968	-0.3740770524122917	-0.278025922451272	-0.2915871853481998	-0.4102702346430217
ACBD7	-0.5954371570952625	-0.5969002605138214	-0.6134450475771975	-0.6653908487902997	-0.48736881832998696	-0.6277553246066079	-0.6407628351460615	-0.4510379898413603
ACCS	-0.470022113626731	-0.529881086452886	-0.5841595657710826	-0.4107831476335271	-0.5989456495292084	-0.42296197454928364	-0.024770927523193098	-0.20105306806866174
ACCSL	-0.5449578221861058	-0.5969002605138214	-0.6134450475771975	-0.6653908487902997	-0.6308779003700814	-0.6277553246066079	-0.6407628351460615	-0.6717911417961083
ACD	-0.3264512314046974	-0.18529260325385158	0.28146460046479205	-0.22906776158874628	-0.41480003024787876	0.09161042836949262	0.010588873566031451	0.20451941940859275
ACE	-0.5414628223811059	-0.5969002605138214	-0.6134450475771975	-0.6653908487902997	-0.6308779003700814	-0.6277553246066079	-0.6407628351460615	-0.6717911417961083
ACER3	-0.5954371570952625	-0.5969002605138214	-0.6134450475771975	-0.6653908487902997	-0.6308779003700814	-0.6277553246066079	-0.39589915644728535	-0.5714598015030102
ACIN1	-0.5215551008684282	-0.5968919305780178	-0.5041350869671519	-0.6653908487902997	-0.6074710487450808	-0.6064632720690751	-0.49022396948110375	-0.6609079073050089
ACKR2	-0.5599813045344546	-0.5969002605138214	-0.6134450475771975	-0.6653908487902997	-0.6308779003700814	-0.6277553246066079	-0.6407628351460615	-0.6717911417961083
ACKR3	0.6496134485279257	1.7068049894696578	-0.6134450475771975	-0.6653908487902997	0.47110555169593954	1.30901299842099	0.8687837098451636	1.3360605417477796
ACKR4	-0.5954371570952625	-0.5969002605138214	-0.6134450475771975	-0.6653908487902997	-0.49492963746624224	-0.6277553246066079	-0.6407628351460615	-0.6717911417961083
ACKR4P1	-0.5954371570952625	-0.5969002605138214	-0.437030361783727	-0.6653908487902997	-0.31506521112524055	-0.6277553246066079	-0.6407628351460615	-0.6717911417961083
ACLY	-0.04642531092939703	-0.08633373345655056	-0.33438737413721165	-0.08334248004861602	-0.19627758647584553	-0.40166401491859505	0.029480582402867925	0.24727337175221736
ACMSD	-0.5954371570952625	-0.5969002605138214	-0.6134450475771975	-0.6653908487902997	-0.5284254933863611	-0.6277553246066079	-0.5111370719761698	-0.5657380256688088
ACO1	1.7320141685250576	1.7018706778111585	1.462311433899768	1.5691868991648945	1.6410917719978428	1.619192917397759	1.586065112743416	1.7919921373571237
ACO2	0.38818630413355004	-0.20368466735006252	0.2233601150295395	0.5130573786256016	-0.31517161950852896	-0.17036326163117135	-0.022022081026218502	0.6297431218942918
ACOT11	-0.5546723302931408	-0.5050822877482259	-0.5608359473719841	-0.5709336615116071	-0.4145584873562793	-0.5952919558343251	-0.6281017984716392	-0.5410621635203972
ACOT13	2.1999533646082603	1.7969896571128703	1.8985133819980056	1.475063077696023	1.8265528269047202	1.405165967979443	1.8328198659920176	0.8230517001006941
ACOT2	-0.10939333035100371	0.03777132111350836	-0.39089926027010685	-0.34131656052559756	-0.08765279407467616	-0.1291928122464087	-0.32436452673977395	-0.5550843147809977
ACOT6	-0.5954371570952625	-0.5225189221331811	-0.6134450475771975	-0.6653908487902997	-0.6308779003700814	-0.6048912427908701	-0.6407628351460615	-0.6717911417961083
ACOT8	0.32107415932596745	0.36309609757829997	-0.21040461651608883	-0.43698195647414234	0.04123402524373501	0.2713895426326242	0.027646151819711848	0.043826819305644645
ACOT9	0.1343743512133206	0.06516375099308994	0.62573956259336	0.36465286043168843	0.46324099573525085	-0.42273983897327405	0.8819232137231228	-0.11595272051123913
ACOX1	0.03399438519506781	-0.26118817022192714	-0.5384041265046773	0.0558569472014703	-0.6308694119638023	-0.35555925869427574	-0.5317896523039329	-0.2935216752756893
ACOX3	-0.5954371570952625	-0.5508857259792372	-0.6134450475771975	-0.6653908487902997	-0.10461418332458779	-0.6277553246066079	-0.6407628351460615	-0.5477337087036636
ACP1	0.5543571571356068	0.27861860838255104	0.30436632702878225	1.053155774807898	0.3147068622563618	0.7683880891868973	0.37137952994097734	0.6238504619207037
ACP5	0.034193868159987297	-0.4352392820808585	-0.3947702960965948	-0.6653575603814857	-0.35573157361049673	-0.5807011148123677	-0.2018466046046602	-0.5426734839106365
